time,A,B
720.0,0.28063483177852433,0.7193651682214754
730.0,0.27572551766508896,0.724274482334911
740.0,0.2709020652525186,0.7290979347474814
750.0,0.26616296355302993,0.7338370364469698
760.0,0.26150673730445745,0.7384932626955423
770.0,0.2569319473461093,0.7430680526538906
780.0,0.2524371686712492,0.7475628313287506
790.0,0.24802100211483358,0.7519789978851662
800.0,0.24368207428500327,0.7563179257149966
810.0,0.2394190373814386,0.7605809626185612
820.0,0.23523056903912637,0.7647694309608736
830.0,0.2311153721975384,0.7688846278024615
840.0,0.22707217499522298,0.7729278250047767
850.0,0.22309973068980768,0.7769002693101922
860.0,0.2191968176034148,0.780803182396585
870.0,0.21536222450998332,0.7846377754900166
880.0,0.21159473585691313,0.7884052641430866
890.0,0.20789317600584875,0.7921068239941511
900.0,0.2042563885990904,0.7957436114009094
910.0,0.2006832349406151,0.7993167650593849
920.0,0.19717259321309621,0.8028274067869036
930.0,0.19372335767570467,0.8062766423242952
940.0,0.19033443784269224,0.8096655621573077
950.0,0.18700476614907102,0.8129952338509288
960.0,0.18373333097105363,0.8162666690289463
970.0,0.1805191186166925,0.8194808813833074
980.0,0.17736112998377224,0.8226388700162277
990.0,0.17425838435507846,0.8257416156449215
1000.0,0.17120991909710276,0.8287900809028972
1010.0,0.16821478935874765,0.8317852106412522
1020.0,0.16527206524115282,0.834727934758847
1030.0,0.1623808251057047,0.8376191748942953
1040.0,0.1595401678584219,0.840459832141578
1050.0,0.1567492080393509,0.843250791960649
1060.0,0.15400707480799694,0.8459929251920029
1070.0,0.15131291151485757,0.8486870884851424
1080.0,0.14866587527295635,0.8513341247270435
1090.0,0.14606514019800365,0.8539348598019962
1100.0,0.14350990247481152,0.8564900975251886
1110.0,0.14099936647256908,0.8590006335274307
1120.0,0.1385327499549803,0.8614672500450195
1130.0,0.13610928416554544,0.8638907158344545
1140.0,0.13372821354091677,0.8662717864590832
1150.0,0.13138879542425483,0.8686112045757451
1160.0,0.12909030107828426,0.8709096989217157
1170.0,0.12683201635641478,0.873167983643585
1180.0,0.1246132379746054,0.8753867620253946
1190.0,0.12243327484645222,0.8775667251535476
1200.0,0.1202914478828626,0.8797085521171373
1210.0,0.11818708974511336,0.8818129102548866
1220.0,0.11611954459790887,0.883880455402091
1230.0,0.11408816861975135,0.8859118313802485
1240.0,0.11209232987299943,0.8879076701270004
1250.0,0.11013140667051617,0.8898685933294838
1260.0,0.10820478806497608,0.8917952119350239
1270.0,0.10631187362604562,0.8936881263739545
1280.0,0.10445207321212929,0.8955479267878707
1290.0,0.1026248067421206,0.8973751932578794
1300.0,0.10082950546790978,0.8991704945320902
1310.0,0.09906561129003782,0.9009343887099622
1320.0,0.09733257478655104,0.9026674252134489
1330.0,0.0956298560598358,0.9043701439401642
1340.0,0.09395692453882601,0.9060430754611739
1350.0,0.09231325878121001,0.9076867412187899
1360.0,0.09069834628378436,0.9093016537162156
