Folder,Timestamp,time,amide_integral,amide_percent
261,,53.0,316836413187.6483,77.59296269771941
264,,54.0,324416948123.51605,79.44942912652974
267,,55.0,322216245603.5448,78.91047898875068
270,,56.0,310432531490.64874,76.02465762622623
273,,57.0,301941799207.0745,73.94528465666322
276,,58.0,309715252431.2046,75.84899660689024
279,,59.0,308614654554.3693,75.5794611417482
282,,60.0,304062249205.1646,74.46458102146185
285,,61.0,301852176753.7861,73.92333619561063
288,,62.0,298407358904.09033,73.07970329299482
291,,63.0,295410375010.39233,72.34574453765552
294,,64.0,293453410697.4647,71.86648567531059
297,,65.0,291915426573.34106,71.48983469769037
300,,66.0,290954163745.7909,71.25442226522912
303,,67.0,286898372935.15063,70.26116261456711
306,,68.0,284853432157.0901,69.7603583922408
309,,69.0,280929064790.0521,68.7992842288921
312,,70.0,276046201401.1332,67.60347522139
315,,71.0,274116479357.42203,67.13088796714038
318,,72.0,269364917430.88995,65.96723457385775
321,,73.0,271244820502.05716,66.42762120495502
324,,74.0,262078117087.59973,64.18270349192122
327,,75.0,260767559354.1234,63.86174904005204
330,,76.0,264183379505.01447,64.69828043138942
333,,77.0,260546020774.4333,63.80749443409606
336,,78.0,253265525527.1758,62.02450746470755
339,,79.0,252339851199.292,61.79781062493747
342,,80.0,252762612329.9482,61.9013444590414
345,,81.0,249480625686.76605,61.09758877762601
348,,82.0,241986378407.6145,59.26225412108104
351,,83.0,239088820811.43472,58.55264477974024
354,,84.0,240563255756.63507,58.91373261857834
357,,85.0,239288012727.26596,58.60142670710545
360,,86.0,233066560569.25955,57.07779847143316
363,,87.0,229244001270.16537,56.14165701559372
366,,88.0,225931859124.78348,55.33051627785296
369,,89.0,225755753523.32413,55.28738816884737
372,,90.0,223521449722.6719,54.74020910658252
375,,91.0,219119014744.72437,53.66205660010054
378,,92.0,211256886306.1903,51.73662816680192
381,,93.0,214805442409.3773,52.6056664776929
384,,94.0,213557566707.17773,52.30006280089956
387,,95.0,212092721428.01184,51.94132346295316
390,,96.0,208911213783.24637,51.16217500107294
393,,97.0,201201252236.5833,49.27401210757129
396,,98.0,202867864166.62167,49.682163923260646
399,,99.0,200552085978.4819,49.11503185418846
402,,100.0,197095505113.05,48.26851819922461
405,,101.0,195006934844.1167,47.75702915243716
408,,102.0,194918943343.0092,47.73548011015865
411,,103.0,191392657457.41516,46.87189575623421
414,,104.0,186102893586.05338,45.57643717361471
417,,105.0,183303274813.08447,44.89081296510509
420,,106.0,185022799352.8066,45.31192303299824
423,,107.0,183312473086.68542,44.893065614329394
426,,108.0,173680922243.41223,42.53430716928708
429,,109.0,178223176527.91568,43.64670130263529
432,,110.0,175989520066.34534,43.09968077314994
435,,111.0,174251984983.49963,42.674159938872045
438,,112.0,172005014657.85748,42.123878855626806
441,,113.0,171017509052.71402,41.88203958970157
444,,114.0,167549485887.47092,41.03272372544148
447,,115.0,168123157814.53818,41.17321548265405
450,,116.0,166410542808.6182,40.75379755359423
453,,117.0,163685091797.13367,40.08633696552308
456,,118.0,165366252730.56805,40.4980518195212
459,,119.0,160434713237.91974,39.29032207644787
462,,120.0,157857927937.333,38.65926959199104
465,,121.0,155535190714.705,38.09043326141043
468,,122.0,154944663593.35706,37.94581368174234
471,,123.0,148959343617.07104,36.48001401250161
474,,124.0,152167655108.428,37.26572671315666
477,,125.0,146152385851.76202,35.79259249113531
480,,126.0,147444181603.4865,36.10895214995163
483,,127.0,144980383966.9134,35.505570246381964
486,,128.0,147775693258.03268,36.1901390665256
489,,129.0,149392773412.8937,36.58616059344851
492,,130.0,145731922426.55902,35.68962136310335
495,,131.0,142203975065.35712,34.82563011524406
498,,132.0,136774417080.9051,33.49593607561619
501,,133.0,139024579339.56598,34.046998860488344
504,,134.0,139023804048.46198,34.04680899236963
507,,135.0,140846672394.86444,34.49322786885618
510,,136.0,136254037217.66446,33.36849549859778
513,,137.0,136071695518.25476,33.323840174614695
516,,138.0,135169938954.312,33.10300077448238
519,,139.0,134456106810.51396,32.92818390179751
522,,140.0,132231998972.715,32.38350182198925
525,,141.0,129732600673.90868,31.77140134712633
528,,142.0,129845447759.89604,31.79903750057684
531,,143.0,125577580414.14536,30.753840490467034
534,,144.0,128958793973.59656,31.58189675758598
537,,145.0,123581985675.20432,30.26512107030774
540,,146.0,125971216877.65315,30.850241718855298
543,,147.0,125689671773.60736,30.78129156714716
546,,148.0,122908518906.21216,30.10018964289124
549,,149.0,118417961356.86176,29.00045599512916
552,,150.0,118428993036.53271,29.00315764390932
555,,151.0,120545914815.70374,29.52158995095581
558,,152.0,121564762693.42046,29.77110491224122
561,,153.0,20767541993.936974,5.085953016090049
564,,154.0,113379809877.83644,27.766617069090238
567,,155.0,112613778815.30566,27.579016726496278
570,,156.0,116508633558.8307,28.53286327395225
573,,157.0,115703058030.1941,28.335578525918333
