data_column,signal_column,scale,offset,rss
G_tau_7p381978e+04_ms,G_tau_7p381978e+04_ms,-0.0043909751592323375,1.0044397014973263,9.244733978008127e-06
G_tau_7p717522e+04_ms,G_tau_7p717522e+04_ms,-0.004285348168083129,1.004330517010169,8.986041098667474e-06
G_tau_8p053067e+04_ms,G_tau_8p053067e+04_ms,-0.004252479315634235,1.0042976468019302,8.701074858247603e-06
G_tau_8p388612e+04_ms,G_tau_8p388612e+04_ms,-0.003974347835711436,1.0040307354096307,8.492263389359039e-06
G_tau_8p724156e+04_ms,G_tau_8p724156e+04_ms,-0.004307393334675186,1.0043376825197068,8.444176468181884e-06
G_tau_9p059701e+04_ms,G_tau_9p059701e+04_ms,-0.0040225629930427265,1.0040697316574054,8.307576593127746e-06
G_tau_9p395245e+04_ms,G_tau_9p395245e+04_ms,-0.004082821833411525,1.0041275168897068,8.25840914386144e-06
G_tau_9p730790e+04_ms,G_tau_9p730790e+04_ms,-0.003918545309416365,1.003969059130376,7.934941843974575e-06
G_tau_1p006633e+05_ms,G_tau_1p006633e+05_ms,-0.004131909202355019,1.0041678747296685,7.648700375854455e-06
G_tau_1p040188e+05_ms,G_tau_1p040188e+05_ms,-0.0038682105700196326,1.0039132389757481,7.435889813231582e-06
G_tau_1p073742e+05_ms,G_tau_1p073742e+05_ms,-0.003936901588019625,1.0039715741385908,7.252173032387478e-06
G_tau_1p140851e+05_ms,G_tau_1p140851e+05_ms,-0.0036800685168137436,1.0037158506149144,6.474766200521618e-06
G_tau_1p207960e+05_ms,G_tau_1p207960e+05_ms,-0.0032956930814890843,1.0033433719474911,6.030653396067461e-06
G_tau_1p275069e+05_ms,G_tau_1p275069e+05_ms,-0.0031327954902922762,1.003183523020005,5.619525948954842e-06
G_tau_1p342178e+05_ms,G_tau_1p342178e+05_ms,-0.003150327326985312,1.0031941191108693,5.1824318890949495e-06
G_tau_1p409287e+05_ms,G_tau_1p409287e+05_ms,-0.003260502570092149,1.003291824057451,4.931752533660489e-06
G_tau_1p476396e+05_ms,G_tau_1p476396e+05_ms,-0.0031980618106136065,1.003221188082182,4.680147819219146e-06
G_tau_1p543504e+05_ms,G_tau_1p543504e+05_ms,-0.0030940075802668135,1.0031178675311756,4.293437478916462e-06
G_tau_1p610613e+05_ms,G_tau_1p610613e+05_ms,-0.0031715264283557346,1.0031867839935709,4.043596669266105e-06
G_tau_1p677722e+05_ms,G_tau_1p677722e+05_ms,-0.0028854583808147266,1.0029142367283679,3.791623187454036e-06
G_tau_1p744831e+05_ms,G_tau_1p744831e+05_ms,-0.0026486984244379203,1.002686041349156,3.5800464405607607e-06
G_tau_1p811940e+05_ms,G_tau_1p811940e+05_ms,-0.0025413189676012455,1.0025773670193863,3.3348591745015985e-06
G_tau_1p879049e+05_ms,G_tau_1p879049e+05_ms,-0.002444263174907614,1.00247904963416,3.1156716639124102e-06
G_tau_1p946158e+05_ms,G_tau_1p946158e+05_ms,-0.0023586299954809903,1.0023929118552477,2.9785857214737006e-06
G_tau_2p013267e+05_ms,G_tau_2p013267e+05_ms,-0.002327216125743001,1.0023566493086167,2.8167117811196243e-06
G_tau_2p080376e+05_ms,G_tau_2p080376e+05_ms,-0.00238592905953303,1.0024074072361335,2.670794463781835e-06
G_tau_2p147485e+05_ms,G_tau_2p147485e+05_ms,-0.0024488134776890214,1.002460692477795,2.4725272980595788e-06
G_tau_2p281702e+05_ms,G_tau_2p281702e+05_ms,-0.002128566845689742,1.0021463131032353,2.1364161300522618e-06
G_tau_2p415920e+05_ms,G_tau_2p415920e+05_ms,-0.0019670219587645584,1.0019842733285955,1.878119805560607e-06
G_tau_2p550138e+05_ms,G_tau_2p550138e+05_ms,-0.001805952022673245,1.0018242986274626,1.654170368124055e-06
G_tau_2p684355e+05_ms,G_tau_2p684355e+05_ms,-0.0017583940324491904,1.00177411844995,1.3989491671606961e-06
G_tau_2p818573e+05_ms,G_tau_2p818573e+05_ms,-0.0015035496040803602,1.0015246979022534,1.2225623441985201e-06
G_tau_2p952791e+05_ms,G_tau_2p952791e+05_ms,-0.0011171240442084845,1.001150042500266,1.0421378227930887e-06
G_tau_3p087009e+05_ms,G_tau_3p087009e+05_ms,-0.0011321563201936345,1.0011585571540127,9.065823330296202e-07
G_tau_3p221227e+05_ms,G_tau_3p221227e+05_ms,-0.0010485525024973414,1.0010719265734738,8.075736994459736e-07
G_tau_3p355445e+05_ms,G_tau_3p355445e+05_ms,-0.0011597156268597926,1.0011694405847178,6.598165788615551e-07
G_tau_3p489662e+05_ms,G_tau_3p489662e+05_ms,-0.0011199612000107127,1.00112272113349,5.085828547495424e-07
G_tau_3p623880e+05_ms,G_tau_3p623880e+05_ms,-0.0008724785689113218,1.0008807956446302,3.9405063704773586e-07
G_tau_3p758098e+05_ms,G_tau_3p758098e+05_ms,-0.0008263412551457403,1.0008352544855807,3.378593848323217e-07
G_tau_3p892316e+05_ms,G_tau_3p892316e+05_ms,-0.0006934760013436439,1.000700604554185,2.666654395904872e-07
G_tau_4p026534e+05_ms,G_tau_4p026534e+05_ms,-0.0006736058449632717,1.0006760014686993,2.1911438744959406e-07
G_tau_4p160752e+05_ms,G_tau_4p160752e+05_ms,-0.0006473584875527502,1.0006484752071858,1.4713674999530614e-07
